Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","electronic_cats_logo_8x6",116.960000,-163.030000,180.000000,bottom
"U5","ESP32-WROOM-32D","ESP32-WROOM-32",134.640000,-152.290000,180.000000,bottom
"C3","10pF","C_0603_1608Metric",119.170000,-152.730000,-45.000000,top
"C4","10pF","C_0603_1608Metric",116.140000,-155.750000,135.000000,top
"C5","1uF","C_0603_1608Metric",110.710000,-156.470000,-90.000000,top
"C6","1uF","C_0603_1608Metric",117.561992,-145.048008,45.000000,top
"C7","100nF","C_0603_1608Metric",106.365000,-144.275000,180.000000,top
"C8","1uF","C_0603_1608Metric",110.421992,-142.891992,135.000000,top
"C9","100nF","C_0603_1608Metric",111.460000,-141.860000,135.000000,top
"C10","1uF","C_0603_1608Metric",142.821716,-160.779948,0.000000,top
"C11","10uF","C_0603_1608Metric",147.629216,-168.954118,-90.000000,top
"C12","100nF","C_0603_1608Metric",142.821716,-159.288282,0.000000,top
"C13","100nF","C_0603_1608Metric",139.850000,-159.290000,180.000000,top
"C14","1uF","C_0603_1608Metric",142.821716,-157.796616,0.000000,top
"C15","100nF","C_0603_1608Metric",106.345000,-154.590000,180.000000,top
"C16","100nF","C_0603_1608Metric",142.821716,-151.829952,0.000000,top
"C17","100nF","C_0603_1608Metric",129.116716,-153.381618,180.000000,top
"C18","100nF","C_0603_1608Metric",129.111716,-154.851618,180.000000,top
"C19","100nF","C_0603_1608Metric",135.370000,-145.315000,90.000000,top
"C20","100nF","C_0603_1608Metric",138.230000,-145.305000,90.000000,top
"C21","100nF","C_0603_1608Metric",142.821716,-153.321618,0.000000,top
"C22","10uF","C_0603_1608Metric",143.569216,-162.994118,-90.000000,top
"C23","1nF/16V","C_0603_1608Metric",106.340000,-153.130000,0.000000,top
"C24","1nF/16V","C_0603_1608Metric",106.360000,-145.735000,0.000000,top
"C25","680pF","C_0603_1608Metric",102.670000,-152.385000,-90.000000,top
"C26","680pF","C_0603_1608Metric",102.685000,-146.495000,-90.000000,top
"C27","100pF/50V","C_0603_1608Metric",101.925000,-150.170000,0.000000,top
"C28","100pF/50V","C_0603_1608Metric",101.935000,-148.705000,0.000000,top
"C29","10uF","C_0603_1608Metric",137.969216,-163.399118,-90.000000,top
"C30","120pF","C_0603_1608Metric",99.710000,-150.920000,-90.000000,top
"C31","120pF","C_0603_1608Metric",99.720000,-147.950000,-90.000000,top
"C32","100nF","C_0603_1608Metric",148.530000,-148.690000,-90.000000,top
"C33","100nF","C_0603_1608Metric",147.020000,-148.705000,90.000000,top
"C34","10uF","C_0603_1608Metric",123.960000,-165.245000,90.000000,top
"C35","15pF","C_0603_1608Metric",127.175000,-146.970000,180.000000,top
"C36","15pF","C_0603_1608Metric",126.150000,-152.690000,180.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.795000,-165.840000,180.000000,top
